C,1,5,-1,Hey Soul Sister
C,1,4,-1,
C,1,4,64,
G,2,5,62,
G,2,3,60,
G,2,3,62,
G,2,3,64,
G,2,3,60,
Am,3,5,53,
Am,3,3,57,
Am,3,3,59,
Am,3,3,60,
Am,3,3,57,
F,4,5,57,
F,4,4,57,
F,4,3,-1,
F,4,3,60,
C,5,4,64,
C,5,4,64,
C,5,5,64,
G,6,4,-1,
G,6,3,62,
G,6,3,64,
G,6,3,65,
G,6,3,64,
G,6,3,62,
G,6,3,60,
Am,7,4,64,
Am,7,4,64,
Am,7,5,64,
F,8,4,-1,
F,8,3,-1,
F,8,3,60,
F,8,3,65,
F,8,3,64,
F,8,3,62,
F,8,3,60,
C,9,3,64,
C,9,4,60,
C,9,3,60,
C,9,3,65,
C,9,3,64,
C,9,3,62,
C,9,3,60,
G,10,4,59,
G,10,3,55,
G,10,3,59,
G,10,3,59,
G,10,4,60,
G,10,3,57,
Am,11,6,57,
F,12,5,-1,
G,12,4,-1,
G,12,3,-1,
G,12,3,60,
C,13,4,64,
C,13,4,60,
C,13,5,55,
G,14,3,-1,
G,14,3,55,
G,14,3,62,
G,14,3,64,
G,14,3,65,
G,14,3,64,
G,14,3,62,
G,14,3,60,
Am,15,4,64,
Am,15,4,60,
Am,15,3,60,
Am,15,2,60,
Am,15,2,62,
Am,15,3,62,
Am,15,3,57,
F,16,4,57,
F,16,3,-1,
F,16,3,62,
F,16,3,65,
F,16,3,64,
F,16,3,62,
F,16,3,60,
F,1,4,53,NOVEMBER RAIN
F,1,3,53,
F,1,3,55,
F,1,3,57,
F,1,4,59,
F,1,3,60,
Am/E,2,4,57,
Am/E,2,2,52,
Am/E,2,2,55,
Am/E,2,2,57,
Am/E,2,2,59,
Am/E,2,3,60,
Am/E,2,3,59,
Am/E,2,3,57,
Am/E,2,3,55,
Dm,3,4,50,
Dm,3,3,53,
Dm,3,3,55,
Dm,3,3,57,
Dm,3,4,55,
Dm,3,3,53,
C,4,2,48,
C,4,3,55,
C,4,2,55,
C,4,3,52,
C,4,3,53,
C,4,3,55,
C,4,3,53,
C,4,3,52,
C,4,3,53,
F,5,4,53,
F,5,4,53,
F,5,4,59,
F,5,4,60,
Dm,6,2,50,
Dm,6,2,52,
Dm,6,2,53,
Dm,6,2,55,
Dm,6,3,57,
Dm,6,3,55,
Dm,6,3,53,
Dm,6,3,52,
C,7,2,48,
C,7,3,55,
C,7,2,55,
C,7,3,60,
C,7,3,55,
C,7,3,55,
C,7,3,52,
C,7,3,55,
C,7,3,50,
C,8,3,50,
C,8,3,52,
C,8,4,48,
C,8,4,50,
C,8,4,52,
F,9,4,53,
F,9,2,53,
F,9,2,55,
F,9,2,57,
F,9,2,59,
F,9,3,60,
F,9,3,59,
F,9,3,57,
F,9,3,59,
C/E,10,4,50,
C/E,10,3,59,
C/E,10,3,57,
C/E,10,3,55,
C/E,10,3,53,
C/E,10,3,52,
C/E,10,3,50,
Dm,11,4,50,
Dm,11,3,53,
Dm,11,3,55,
Dm,11,3,50,
Dm,11,4,55,
Dm,11,2,53,
Dm,11,2,52,
C,12,3,52,
C,12,3,55,
C,12,3,60,
C,12,3,52,
C,12,3,52,
C,12,3,55,
C,12,4,50,
C,13,4,52,
C,13,4,52,
C,13,4,50,
C,13,4,52,
C,14,6,43,
Fmaj7,15,4,48,
Fmaj7,15,4,48,
Fmaj7,15,4,48,
Fmaj7,15,4,48,
Dm9,16,4,57,
Dm9,16,4,57,
Dm9,16,4,57,
Dm9,16,4,57,
C,1,3,-1,Imagine
C,1,3,55,
C,1,3,55,
C,1,3,55,
C,1,4,55,
C,1,3,59,
C,1,3,59,
F,2,4,57,
